[GIN] 2026/06/19 - 07:31:05 | 200 |     24.8497ms |       127.0.0.1 | POST     "/api/embed"
[GIN] 2026/06/19 - 07:31:05 | 200 |     22.4272ms |       127.0.0.1 | POST     "/api/embed"
[GIN] 2026/06/19 - 07:31:05 | 200 |     22.6499ms |       127.0.0.1 | POST     "/api/embed"
[GIN] 2026/06/19 - 07:31:05 | 200 |     22.8427ms |       127.0.0.1 | POST     "/api/embed"
[GIN] 2026/06/19 - 07:31:05 | 200 |     14.0607ms |       127.0.0.1 | POST     "/api/embed"
[GIN] 2026/06/19 - 07:31:05 | 200 |     15.0767ms |       127.0.0.1 | POST     "/api/embed"
[GIN] 2026/06/19 - 07:31:05 | 200 |     22.7808ms |       127.0.0.1 | POST     "/api/embed"
[GIN] 2026/06/19 - 07:31:05 | 200 |     24.3937ms |       127.0.0.1 | POST     "/api/embed"
[GIN] 2026/06/19 - 07:31:05 | 200 |     13.5341ms |       127.0.0.1 | POST     "/api/embed"
[GIN] 2026/06/19 - 07:31:05 | 200 |     15.1035ms |       127.0.0.1 | POST     "/api/embed"
[GIN] 2026/06/19 - 07:31:05 | 200 |     22.7721ms |       127.0.0.1 | POST     "/api/embed"
[GIN] 2026/06/19 - 07:31:05 | 200 |     14.6408ms |       127.0.0.1 | POST     "/api/embed"
[GIN] 2026/06/19 - 07:31:05 | 200 |     24.2469ms |       127.0.0.1 | POST     "/api/embed"
[GIN] 2026/06/19 - 07:31:05 | 200 |     23.2716ms |       127.0.0.1 | POST     "/api/embed"
[GIN] 2026/06/19 - 07:31:05 | 200 |     14.5754ms |       127.0.0.1 | POST     "/api/embed"
[GIN] 2026/06/19 - 07:31:05 | 200 |     14.6003ms |       127.0.0.1 | POST     "/api/embed"
[GIN] 2026/06/19 - 07:31:05 | 200 |     22.4802ms |       127.0.0.1 | POST     "/api/embed"
[GIN] 2026/06/19 - 07:31:05 | 200 |     14.5552ms |       127.0.0.1 | POST     "/api/embed"
[GIN] 2026/06/19 - 07:31:05 | 200 |      25.008ms |       127.0.0.1 | POST     "/api/embed"
[GIN] 2026/06/19 - 07:31:06 | 200 |     16.0823ms |       127.0.0.1 | POST     "/api/embed"
[GIN] 2026/06/19 - 07:31:06 | 200 |      25.346ms |       127.0.0.1 | POST     "/api/embed"
[GIN] 2026/06/19 - 07:31:06 | 200 |     24.6173ms |       127.0.0.1 | POST     "/api/embed"
[GIN] 2026/06/19 - 07:31:06 | 200 |     14.7405ms |       127.0.0.1 | POST     "/api/embed"
[GIN] 2026/06/19 - 07:31:06 | 200 |     23.9023ms |       127.0.0.1 | POST     "/api/embed"
[GIN] 2026/06/19 - 07:31:06 | 200 |     15.2186ms |       127.0.0.1 | POST     "/api/embed"
[GIN] 2026/06/19 - 07:31:06 | 200 |     15.1316ms |       127.0.0.1 | POST     "/api/embed"
[GIN] 2026/06/19 - 07:31:06 | 200 |     24.3959ms |       127.0.0.1 | POST     "/api/embed"
[GIN] 2026/06/19 - 07:31:06 | 200 |     24.4967ms |       127.0.0.1 | POST     "/api/embed"
[GIN] 2026/06/19 - 07:31:06 | 200 |     15.0776ms |       127.0.0.1 | POST     "/api/embed"
[GIN] 2026/06/19 - 07:31:06 | 200 |     15.0403ms |       127.0.0.1 | POST     "/api/embed"
[GIN] 2026/06/19 - 07:31:06 | 200 |     23.9435ms |       127.0.0.1 | POST     "/api/embed"
[GIN] 2026/06/19 - 07:31:06 | 200 |     14.4962ms |       127.0.0.1 | POST     "/api/embed"
[GIN] 2026/06/19 - 07:31:06 | 200 |     23.1694ms |       127.0.0.1 | POST     "/api/embed"
[GIN] 2026/06/19 - 07:31:06 | 200 |     22.4232ms |       127.0.0.1 | POST     "/api/embed"
[GIN] 2026/06/19 - 07:31:06 | 200 |     14.0549ms |       127.0.0.1 | POST     "/api/embed"
[GIN] 2026/06/19 - 07:31:06 | 200 |     23.7694ms |       127.0.0.1 | POST     "/api/embed"
[GIN] 2026/06/19 - 07:31:06 | 200 |     14.6223ms |       127.0.0.1 | POST     "/api/embed"
[GIN] 2026/06/19 - 07:31:06 | 200 |     14.0169ms |       127.0.0.1 | POST     "/api/embed"
[GIN] 2026/06/19 - 07:31:23 | 200 |     34.8281ms |       127.0.0.1 | POST     "/api/embed"
[GIN] 2026/06/19 - 07:31:51 | 200 |     24.5912ms |       127.0.0.1 | POST     "/api/embed"
[GIN] 2026/06/19 - 07:31:51 | 200 |     14.5422ms |       127.0.0.1 | POST     "/api/embed"
[GIN] 2026/06/19 - 07:31:51 | 200 |     13.0284ms |       127.0.0.1 | POST     "/api/embed"
[GIN] 2026/06/19 - 07:31:51 | 200 |     14.5157ms |       127.0.0.1 | POST     "/api/embed"
[GIN] 2026/06/19 - 07:31:51 | 200 |     24.3458ms |       127.0.0.1 | POST     "/api/embed"
[GIN] 2026/06/19 - 07:31:51 | 200 |     24.3026ms |       127.0.0.1 | POST     "/api/embed"
[GIN] 2026/06/19 - 07:31:51 | 200 |     12.9062ms |       127.0.0.1 | POST     "/api/embed"
[GIN] 2026/06/19 - 07:31:51 | 200 |     22.6716ms |       127.0.0.1 | POST     "/api/embed"
[GIN] 2026/06/19 - 07:31:51 | 200 |     15.1065ms |       127.0.0.1 | POST     "/api/embed"
[GIN] 2026/06/19 - 07:31:51 | 200 |     14.0845ms |       127.0.0.1 | POST     "/api/embed"
[GIN] 2026/06/19 - 07:31:51 | 200 |     26.3082ms |       127.0.0.1 | POST     "/api/embed"
[GIN] 2026/06/19 - 07:31:51 | 200 |     25.0778ms |       127.0.0.1 | POST     "/api/embed"
[GIN] 2026/06/19 - 07:31:51 | 200 |     15.6848ms |       127.0.0.1 | POST     "/api/embed"
[GIN] 2026/06/19 - 07:31:51 | 200 |     14.5269ms |       127.0.0.1 | POST     "/api/embed"
[GIN] 2026/06/19 - 07:31:51 | 200 |     24.5178ms |       127.0.0.1 | POST     "/api/embed"
[GIN] 2026/06/19 - 07:31:51 | 200 |     14.5929ms |       127.0.0.1 | POST     "/api/embed"
[GIN] 2026/06/19 - 07:31:51 | 200 |     23.0718ms |       127.0.0.1 | POST     "/api/embed"
[GIN] 2026/06/19 - 07:31:51 | 200 |     22.6388ms |       127.0.0.1 | POST     "/api/embed"
[GIN] 2026/06/19 - 07:31:51 | 200 |     14.5314ms |       127.0.0.1 | POST     "/api/embed"
[GIN] 2026/06/19 - 07:31:51 | 200 |     27.8787ms |       127.0.0.1 | POST     "/api/embed"
[GIN] 2026/06/19 - 07:31:51 | 200 |     15.1809ms |       127.0.0.1 | POST     "/api/embed"
[GIN] 2026/06/19 - 07:31:51 | 200 |     24.9575ms |       127.0.0.1 | POST     "/api/embed"
[GIN] 2026/06/19 - 07:31:51 | 200 |     15.0482ms |       127.0.0.1 | POST     "/api/embed"
[GIN] 2026/06/19 - 07:31:51 | 200 |     14.6055ms |       127.0.0.1 | POST     "/api/embed"
[GIN] 2026/06/19 - 07:31:51 | 200 |     24.1986ms |       127.0.0.1 | POST     "/api/embed"
[GIN] 2026/06/19 - 07:31:51 | 200 |     24.1694ms |       127.0.0.1 | POST     "/api/embed"
[GIN] 2026/06/19 - 07:31:51 | 200 |     14.5874ms |       127.0.0.1 | POST     "/api/embed"
